TCGA-AN-A0XR:	num_bps: 92,	num_cnvs: 806	total: 898
TCGA-E2-A156:	num_bps: 38,	num_cnvs: 851	total: 889
TCGA-AN-A04D:	num_bps: 146,	num_cnvs: 854	total: 1000
TCGA-AR-A1AY:	num_bps: 134,	num_cnvs: 889	total: 1023
TCGA-A1-A0SM:	num_bps: 176,	num_cnvs: 1091	total: 1267
TCGA-A8-A08L:	num_bps: 218,	num_cnvs: 1159	total: 1377
TCGA-A8-A092:	num_bps: 130,	num_cnvs: 1183	total: 1313
TCGA-EW-A1J5:	num_bps: 80,	num_cnvs: 1184	total: 1264
TCGA-AC-A2BK:	num_bps: 332,	num_cnvs: 1318	total: 1650
TCGA-BH-A0BW:	num_bps: 66,	num_cnvs: 1392	total: 1458
TCGA-BH-A18R:	num_bps: 354,	num_cnvs: 1532	total: 1886
TCGA-AO-A03N:	num_bps: 162,	num_cnvs: 1536	total: 1698
TCGA-D8-A27H:	num_bps: 524,	num_cnvs: 1551	total: 2075
TCGA-A8-A075:	num_bps: 140,	num_cnvs: 1552	total: 1692
TCGA-BH-A0AV:	num_bps: 276,	num_cnvs: 1615	total: 1891
TCGA-AO-A0J2:	num_bps: 324,	num_cnvs: 1688	total: 2012
TCGA-A2-A0D1:	num_bps: 672,	num_cnvs: 1696	total: 2368
TCGA-A8-A08S:	num_bps: 462,	num_cnvs: 1721	total: 2183
TCGA-C8-A12L:	num_bps: 468,	num_cnvs: 1763	total: 2231
TCGA-AO-A0JM:	num_bps: 494,	num_cnvs: 1767	total: 2261
TCGA-E2-A15H:	num_bps: 212,	num_cnvs: 1831	total: 2043
TCGA-A2-A259:	num_bps: 60,	num_cnvs: 1839	total: 1899
TCGA-A8-A07B:	num_bps: 366,	num_cnvs: 1913	total: 2279
TCGA-A8-A09I:	num_bps: 506,	num_cnvs: 1965	total: 2471
TCGA-E2-A15E:	num_bps: 132,	num_cnvs: 1983	total: 2115
TCGA-BH-A0EA:	num_bps: 14,	num_cnvs: 2011	total: 2025
TCGA-A2-A0YG:	num_bps: 232,	num_cnvs: 2027	total: 2259
TCGA-BH-A0DG:	num_bps: 556,	num_cnvs: 2118	total: 2674
TCGA-BH-A0DT:	num_bps: 12,	num_cnvs: 2174	total: 2186
TCGA-A2-A3KC:	num_bps: 172,	num_cnvs: 2207	total: 2379
TCGA-GM-A2DF:	num_bps: 256,	num_cnvs: 2212	total: 2468
TCGA-BH-A0H0:	num_bps: 340,	num_cnvs: 2231	total: 2571
TCGA-GM-A3XL:	num_bps: 464,	num_cnvs: 2260	total: 2724
TCGA-A8-A094:	num_bps: 192,	num_cnvs: 2304	total: 2496
TCGA-E2-A14P:	num_bps: 440,	num_cnvs: 2326	total: 2766
TCGA-A2-A04X:	num_bps: 810,	num_cnvs: 2339	total: 3149
TCGA-E2-A1LK:	num_bps: 266,	num_cnvs: 2456	total: 2722
TCGA-A2-A3XX:	num_bps: 164,	num_cnvs: 2521	total: 2685
TCGA-A2-A3Y0:	num_bps: 314,	num_cnvs: 2556	total: 2870
TCGA-AN-A0AT:	num_bps: 458,	num_cnvs: 2747	total: 3205
TCGA-A8-A07I:	num_bps: 1026,	num_cnvs: 3146	total: 4172
TCGA-AR-A0TX:	num_bps: 400,	num_cnvs: 3158	total: 3558
TCGA-E2-A14X:	num_bps: 160,	num_cnvs: 4093	total: 4253
TCGA-B6-A0IJ:	num_bps: 124,	num_cnvs: 4158	total: 4282
TCGA-BH-A0H6:	num_bps: 974,	num_cnvs: 5097	total: 6071
TCGA-AN-A0G0:	num_bps: 780,	num_cnvs: 5870	total: 6650
TCGA-AO-A03L:	num_bps: 764,	num_cnvs: 8217	total: 8981
TCGA-B6-A0I2:	num_bps: 84,	num_cnvs: 10202	total: 10286
TCGA-B6-A0RT:	num_bps: 6,	num_cnvs: 14627	total: 14633
TCGA-A8-A08B:	num_bps: 296,	num_cnvs: 15715	total: 16011
TCGA-A2-A0CM:	num_bps: 38,	num_cnvs: 32666	total: 32704

 - - - - - - METASTATIC - - - - -

TCGA-EW-A1P8:	num_bps: 122,	num_cnvs: 1083	total: 1205
TCGA-B6-A0I1:	num_bps: 412,	num_cnvs: 1336	total: 1748
TCGA-E2-A152:	num_bps: 74,	num_cnvs: 2092	total: 2166
TCGA-C8-A12Q:	num_bps: 414,	num_cnvs: 2424	total: 2838
TCGA-A2-A25B:	num_bps: 566,	num_cnvs: 2430	total: 2996
TCGA-E2-A1LL:	num_bps: 926,	num_cnvs: 2976	total: 3902
TCGA-B6-A0X5:	num_bps: 918,	num_cnvs: 6135	total: 7053
TCGA-B6-A0I6:	num_bps: 444,	num_cnvs: 30201	total: 30645
